timestamp,car_id,position,speed,power_transmission,modulation,data_rate,beacon_rate,channel_busy_rate,neighbor_id
2024-11-28 14:04:22,car1,"(501.6, 12.3)",0.0,15,N/A,N/A,10,757371244.5660297,
2024-11-28 14:04:22,car2,"(201.6, 212.29999999999998)",0.0,15,N/A,N/A,10,757371244.5660297,
2024-11-28 14:04:22,car2,"(501.6, 12.3)",0.0,15,N/A,N/A,10,757371244.5660297,car1
2024-11-28 14:04:22,car11,"(598.4, 187.70000000000002)",0.0,15,N/A,N/A,10,757371244.5660297,
2024-11-28 14:04:22,car11,"(501.6, 12.3)",0.0,15,N/A,N/A,10,757371244.5660297,car1
2024-11-28 14:04:22,car11,"(201.6, 212.29999999999998)",0.0,15,N/A,N/A,10,757371244.5660297,car2
2024-11-28 14:04:22,car12,"(198.4, 587.6999999999999)",0.0,15,N/A,N/A,10,757371244.5660297,
2024-11-28 14:04:22,car12,"(501.6, 12.3)",0.0,15,N/A,N/A,10,757371244.5660297,car1
2024-11-28 14:04:22,car12,"(201.6, 212.29999999999998)",0.0,15,N/A,N/A,10,757371244.5660297,car2
2024-11-28 14:04:22,car12,"(598.4, 187.70000000000002)",0.0,15,N/A,N/A,10,757371244.5660297,car11
2024-11-28 14:04:22,car14,"(-1.6, 691.6999999999999)",0.0,15,N/A,N/A,10,757371244.5660297,
2024-11-28 14:04:22,car14,"(501.6, 12.3)",0.0,15,N/A,N/A,10,757371244.5660297,car1
2024-11-28 14:04:22,car14,"(201.6, 212.29999999999998)",0.0,15,N/A,N/A,10,757371244.5660297,car2
2024-11-28 14:04:22,car14,"(598.4, 187.70000000000002)",0.0,15,N/A,N/A,10,757371244.5660297,car11
2024-11-28 14:04:22,car14,"(198.4, 587.6999999999999)",0.0,15,N/A,N/A,10,757371244.5660297,car12
2024-11-28 14:04:22,car15,"(601.6, 412.3)",0.0,15,N/A,N/A,10,757371244.5660297,
2024-11-28 14:04:22,car15,"(501.6, 12.3)",0.0,15,N/A,N/A,10,757371244.5660297,car1
2024-11-28 14:04:22,car15,"(201.6, 212.29999999999998)",0.0,15,N/A,N/A,10,757371244.5660297,car2
2024-11-28 14:04:22,car15,"(598.4, 187.70000000000002)",0.0,15,N/A,N/A,10,757371244.5660297,car11
2024-11-28 14:04:22,car15,"(198.4, 587.6999999999999)",0.0,15,N/A,N/A,10,757371244.5660297,car12
2024-11-28 14:04:22,car15,"(-1.6, 691.6999999999999)",0.0,15,N/A,N/A,10,757371244.5660297,car14
2024-11-28 14:04:22,car17,"(398.4, 187.70000000000002)",0.0,15,N/A,N/A,10,757371244.5660297,
2024-11-28 14:04:22,car17,"(501.6, 12.3)",0.0,15,N/A,N/A,10,757371244.5660297,car1
2024-11-28 14:04:22,car17,"(201.6, 212.29999999999998)",0.0,15,N/A,N/A,10,757371244.5660297,car2
2024-11-28 14:04:22,car17,"(598.4, 187.70000000000002)",0.0,15,N/A,N/A,10,757371244.5660297,car11
2024-11-28 14:04:22,car17,"(198.4, 587.6999999999999)",0.0,15,N/A,N/A,10,757371244.5660297,car12
2024-11-28 14:04:22,car17,"(-1.6, 691.6999999999999)",0.0,15,N/A,N/A,10,757371244.5660297,car14
2024-11-28 14:04:22,car17,"(601.6, 412.3)",0.0,15,N/A,N/A,10,757371244.5660297,car15
2024-11-28 14:04:22,car19,"(601.6, 312.3)",0.0,15,N/A,N/A,10,757371244.5660297,
2024-11-28 14:04:22,car19,"(501.6, 12.3)",0.0,15,N/A,N/A,10,757371244.5660297,car1
2024-11-28 14:04:22,car19,"(201.6, 212.29999999999998)",0.0,15,N/A,N/A,10,757371244.5660297,car2
2024-11-28 14:04:22,car19,"(598.4, 187.70000000000002)",0.0,15,N/A,N/A,10,757371244.5660297,car11
2024-11-28 14:04:22,car19,"(198.4, 587.6999999999999)",0.0,15,N/A,N/A,10,757371244.5660297,car12
2024-11-28 14:04:22,car19,"(-1.6, 691.6999999999999)",0.0,15,N/A,N/A,10,757371244.5660297,car14
2024-11-28 14:04:22,car19,"(601.6, 412.3)",0.0,15,N/A,N/A,10,757371244.5660297,car15
2024-11-28 14:04:22,car19,"(398.4, 187.70000000000002)",0.0,15,N/A,N/A,10,757371244.5660297,car17
